>>>>>>>>>>>>>>>>>>>> Intracluster 0 || Intercluster 0 <<<<<<<<<<<<<<<<<<<<<
Simulacao: 0 Rounds: 161 Nos Vivos: 0
Simulacao: 1 Rounds: 142 Nos Vivos: 0
Simulacao: 2 Rounds: 190 Nos Vivos: 0
Simulacao: 3 Rounds: 199 Nos Vivos: 0
Simulacao: 4 Rounds: 133 Nos Vivos: 0
Simulacao: 5 Rounds: 148 Nos Vivos: 0
Simulacao: 6 Rounds: 156 Nos Vivos: 0
Simulacao: 7 Rounds: 138 Nos Vivos: 0
Simulacao: 8 Rounds: 130 Nos Vivos: 0
Simulacao: 9 Rounds: 150 Nos Vivos: 0
Simulacao: 10 Rounds: 153 Nos Vivos: 0
Simulacao: 11 Rounds: 184 Nos Vivos: 0
Simulacao: 12 Rounds: 142 Nos Vivos: 0
Simulacao: 13 Rounds: 153 Nos Vivos: 0
Simulacao: 14 Rounds: 141 Nos Vivos: 0
Simulacao: 15 Rounds: 164 Nos Vivos: 0
Simulacao: 16 Rounds: 151 Nos Vivos: 0
Simulacao: 17 Rounds: 140 Nos Vivos: 0
Simulacao: 18 Rounds: 190 Nos Vivos: 0
Simulacao: 19 Rounds: 133 Nos Vivos: 0
Simulacao: 20 Rounds: 118 Nos Vivos: 0
Simulacao: 21 Rounds: 149 Nos Vivos: 0
Simulacao: 22 Rounds: 145 Nos Vivos: 0
Simulacao: 23 Rounds: 157 Nos Vivos: 0
Simulacao: 24 Rounds: 144 Nos Vivos: 0
Simulacao: 25 Rounds: 122 Nos Vivos: 0
Simulacao: 26 Rounds: 139 Nos Vivos: 0
Simulacao: 27 Rounds: 160 Nos Vivos: 0
Simulacao: 28 Rounds: 161 Nos Vivos: 0
Simulacao: 29 Rounds: 179 Nos Vivos: 0
Simulacao: 30 Rounds: 137 Nos Vivos: 0
Simulacao: 31 Rounds: 144 Nos Vivos: 0
Simulacao: 32 Rounds: 163 Nos Vivos: 0
